match_id,team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_home_away,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ball_remaining,ground_city,ground,ground_country,match_date
ODI # 1382,Sri Lanka,Australia,259,260,9,2,away,home,Australia,8,wickets,Day and night,Carlton & United Series,Adam Gilchrist,Australia,Sydney Cricket Ground,Sri Lanka,bat first,23,Sydney,Moore Park,Australia,13-01-1999
ODI # 1384,England,Australia,178,182,10,1,away,home,Australia,9,wickets,Day and night,Carlton & United Series,Mark Waugh,Australia,Melbourne Cricket Ground,England,bat first,64,Melbourne,Jolimont,Australia,15-01-1999
ODI # 1385,New Zealand,India,207,208,7,5,home,away,India,5,wickets,Day,India tour of New Zealand,Rahul Dravid,India,"Eden Park, Auckland",India,field first,37,Auckland,Auckland,New Zealand,16-01-1999
ODI # 1386,England,Australia,282,275,4,6,away,home,England,7,runs,Day and night,Carlton & United Series,Graeme Hick,England,Sydney Cricket Ground,England,bat first,,Sydney,Moore Park,Australia,17-01-1999
ODI # 1387,New Zealand,India,300,230,8,10,home,away,New Zealand,70,runs,Day and night,India tour of New Zealand,Chris Cairns,New Zealand,"Jade Stadium, Christchurch",India,field first,,Christchurch,Christchurch,New Zealand,19-01-1999
ODI # 1388,Sri Lanka,England,186,189,10,3,away,away,England,7,wickets,Day and night,Carlton & United Series,Darren Gough,England,Melbourne Cricket Ground,Sri Lanka,bat first,28,Melbourne,Jolimont,Australia,19-01-1999
ODI # 1389,Australia,Sri Lanka,210,211,9,7,home,away,Sri Lanka,3,wickets,Day,Carlton & United Series,Marvan Atapattu,Sri Lanka,"Bellerive Oval, Hobart",Sri Lanka,field first,3,Hobart,Bellerive,Australia,21-01-1999
wickets,wickets,wickets,wickets,wickets,wickets,wickets,wickets,wickets,wickets,1,wickets,Day and night,Carlton & United Series,Mahela Jayawardene,Sri Lanka,Adelaide Oval,Sri Lanka,field first,2,Adelaide,North Adelaide,Australia,23-01-1999
ODI # 1392,Australia,Sri Lanka,270,190,10,10,home,away,Australia,80,runs,Day and night,Carlton & United Series,Glenn McGrath,Australia,Adelaide Oval,Sri Lanka,field first,,Adelaide,North Adelaide,Australia,24-01-1999
ODI # 1393,West Indies,South Africa,292,249,9,10,away,home,West Indies,43,runs,Day,West Indies tour of South Africa,Shivnarine Chanderpaul,West Indies,"Buffalo Park, East London",South Africa,field first,,East London,East London,South Africa,24-01-1999
ODI # 1394,Australia,England,239,223,8,10,home,away,Australia,16,runs,Day and night,Carlton & United Series,Graeme Hick,England,Adelaide Oval,Australia,bat first,,Adelaide,North Adelaide,Australia,26-01-1999
ODI # 1395,South Africa,West Indies,274,219,9,10,home,away,South Africa,55,runs,Day and night,West Indies tour of South Africa,Hansie Cronje,South Africa,"Kingsmead, Durban",South Africa,bat first,,Durban,Durban,South Africa,27-01-1999
